@relation Steps_Dataset_70ms-weka.filters.unsupervised.attribute.Remove-R1

@attribute duration numeric
@attribute 'acceleration variance' numeric
@attribute 'acceleration peek' numeric
@attribute 'acceleration max-min' numeric
@attribute RMS numeric
@attribute RMS*duration numeric
@attribute gait {jogging,running,walking}

@data
490,24.216057,16.695322,11.81364,11.59952,5683.765012,walking
420,25.668399,15.701317,11.670189,11.381126,4780.072789,walking
560,10.560722,14.172718,8.924165,10.692586,5987.848071,walking
490,18.652829,16.226557,11.238935,11.113572,5445.650219,walking
490,14.245332,14.680406,9.693636,10.59596,5192.020395,walking
490,28.643945,18.403653,13.423343,11.957387,5859.119683,walking
490,26.477402,18.220668,13.262412,11.862904,5812.822716,walking
420,18.258954,16.048589,11.895277,10.251081,4305.453825,walking
560,13.728807,13.825562,8.797308,10.875291,6090.163019,walking
490,16.202431,15.58794,11.119577,10.715171,5250.43361,walking
490,16.669973,14.870908,10.362431,10.881149,5331.762941,walking
490,17.390616,14.911761,9.689669,11.288677,5531.451894,walking
630,12.532477,14.326704,8.994744,10.723876,6756.041671,walking
560,10.786056,14.44177,7.969487,10.693844,5988.552878,walking
490,11.253054,14.44268,8.996933,10.626159,5206.817689,walking
490,10.884573,13.466625,8.173555,10.478146,5134.291644,walking
490,14.937017,14.965422,9.741805,10.879079,5330.748789,walking
490,13.588373,14.137332,8.992836,10.629631,5208.519162,walking
490,13.104575,13.735442,8.761051,10.660458,5223.624325,walking
490,14.705553,14.589365,9.465162,10.773159,5278.848062,walking
490,14.615731,15.410606,10.641841,10.765253,5274.973817,walking
140,15.214256,15.822227,7.626726,12.882216,1803.510243,walking
420,13.906483,16.550057,9.589622,11.497185,4828.81775,walking
490,14.289648,15.387589,9.934678,10.831318,5307.345894,walking
630,10.034588,14.43198,8.807755,10.452034,6584.781326,walking
280,22.232213,18.473035,11.839933,11.946599,3345.047725,walking
420,4.300739,14.632799,5.914202,10.195216,4281.990544,walking
210,5.580939,14.523714,5.748824,11.862744,2491.176187,walking
210,20.822605,16.746974,8.620639,13.373591,2808.454128,walking
490,7.878508,13.805739,7.36657,10.181015,4988.697285,walking
490,8.467663,13.079128,7.569517,10.018673,4909.149962,walking
490,17.831748,16.480142,10.440986,10.953583,5367.255431,walking
490,9.609293,13.305456,7.932591,10.422774,5107.159425,walking
490,15.181715,15.237879,9.132441,10.91041,5346.10068,walking
560,15.18006,17.765848,11.804826,11.205522,6275.092342,walking
490,7.87087,13.267081,7.118171,10.207888,5001.865261,walking
